Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Jordan Clarkson,Lal,SG,2,FrontCourt,25,21,22.6,47.1,28.3,0.118,57,0.754,192,0.536,67,0.373,0.57,15.4,2.9,6.7,3,23.2,0.71,0,1.81,9.1,109,102.5
Jordan Crawford,Nor,SG,2,FrontCourt,29,2,18.7,38.9,20.9,0.222,0,0,9,0.333,5,0.8,0.643,9,1.5,4.4,4.5,36.9,0,0.5,2,8.4,117.2,99.6
Jordan Mickey,Mia,PF,4,BackCourt,23,4,9.2,19.2,18.7,0.196,3,0.667,10,0.6,1,0,0.568,3.5,4.3,25.5,0,0,0,0.5,0.75,0,100.2,90.9
Jose Calderon,Cle,PG,1,FrontCourt,36,13,13.4,27.9,9.3,0.273,6,0.833,11,0.455,13,0.462,0.619,2.5,1.1,4.5,1.5,15,0.46,0,0.77,4.8,109.9,104.4
Josh Hart,Lal,SG,2,FrontCourt,22,16,13.8,28.8,10.6,0.124,12,0.75,27,0.519,17,0.235,0.497,3.1,2.2,8.3,0.4,3.6,0.63,0.19,0.44,4.1,97.5,100.1
Josh Huestis,Okc,SF,3,BackCourt,26,16,11.3,23.6,12.1,0.177,4,0.5,9,0.222,31,0.29,0.395,2.1,1.6,8.1,0.4,4.6,0.38,0.56,0.56,3.9,78.2,92.4
Josh Jackson,Pho,SF,3,BackCourt,20,23,21.5,44.8,23.8,0.157,64,0.516,154,0.448,59,0.237,0.442,9.3,3.8,9.1,1.1,7.8,1.3,0.22,1.96,6.3,83,100.1
Josh Magette,Atl,PG,1,FrontCourt,28,8,8,16.7,10.8,0.127,4,1,8,0.375,4,0.25,0.472,1.6,0.8,5.3,2.1,35.6,0.25,0,0.25,7,123.9,106.9
Josh Richardson,Mia,SG,2,FrontCourt,24,21,32.4,67.5,16.2,0.191,21,0.762,86,0.488,104,0.269,0.462,8.8,3,5.1,2,9.3,1.29,0.71,2.24,4.6,84,101.2
Josh Smith,Nor,PF,4,BackCourt,32,3,3.9,8.2,14.7,0,0,0,4,0.25,0,0,0.25,0.7,1.3,18.7,0,0,0,0,0,0,,
JR Smith,Cle,SG,2,FrontCourt,32,22,31,64.5,13.1,0.104,12,0.583,51,0.51,125,0.32,0.494,8.1,2.8,5.1,2,8.8,1,0.05,0.95,4.6,99.7,105.9
Jrue Holiday,Nor,PG,1,FrontCourt,27,21,36.1,75.2,20.7,0.155,48,0.854,190,0.553,95,0.274,0.537,15.7,4.3,6.6,5.7,23.4,1.29,0.29,2.67,8.1,104.9,105.5
Juan Hernangomez,Den,PF,4,BackCourt,22,10,14.8,30.8,12.8,0.068,7,0.714,13,0.462,25,0.32,0.499,4.1,2.7,10.2,0.4,3.7,0.3,0.2,0.3,4.4,110.4,104.7
Julius Randle,Lal,PF,4,BackCourt,23,21,22.2,46.3,23.8,0.18,83,0.675,164,0.591,18,0.222,0.599,12.5,6.6,15.5,1.7,12.4,0.43,0.86,2.29,9.4,105.6,91.1
Julyan Stone,Cha,PG,1,FrontCourt,29,2,9.2,19.1,14.2,0.333,0,0,0,0,4,0.5,0.75,3,2.5,14.5,1,16.3,1,0,1,8.5,102.8,84
Justin Anderson,Phi,SF,3,BackCourt,24,10,12.6,26.3,18.1,0.073,7,0.714,22,0.409,26,0.346,0.489,5,2.7,11.1,0.3,3.4,0.3,0.1,0.4,5.1,103.7,95.1
Justin Holiday,Chi,SG,2,FrontCourt,28,19,34.3,71.5,20.9,0.08,49,0.755,117,0.385,147,0.354,0.496,14.9,4.2,6.4,2.1,10,1.26,0.58,1.32,5.9,98.4,108.2
Justin Jackson,Sac,SF,3,BackCourt,22,17,18.2,38,17.9,0.105,10,0.6,60,0.467,46,0.326,0.485,6.3,1.6,5.2,0.4,3.6,0.18,0.12,0.76,3.5,91.6,113.3
Justise Winslow,Mia,SF,3,BackCourt,21,21,22.8,47.6,15.7,0.137,22,0.682,108,0.444,27,0.333,0.477,6.6,5.6,13.4,1.7,11.5,0.81,0.33,1.1,7,97.2,98.4
Jusuf Nurkic,Por,C,5,BackCourt,23,22,28.2,58.7,29.1,0.169,96,0.646,297,0.468,5,0,0.494,15.5,7.9,15.2,2.1,13.5,0.82,1.23,3.18,9,93.2,91.8
Karl-Anthony Towns,Min,C,5,BackCourt,22,22,34.3,71.5,23.6,0.113,95,0.863,241,0.581,80,0.363,0.619,20.4,11.7,19.5,1.5,7.5,0.5,1.27,2.09,8.3,119.7,99.7
Kay Felder,Chi,PG,1,FrontCourt,22,12,10.5,21.9,28.7,0.182,10,0.9,46,0.326,17,0.235,0.378,4.3,0.9,4.6,1.7,26.6,0.17,0.08,1.25,7.1,75.1,106.8
Kelly Olynyk,Mia,C,5,BackCourt,26,21,19.1,39.8,20.9,0.224,39,0.795,75,0.56,53,0.491,0.665,9.2,5.3,15.3,1.6,13.7,0.57,0.48,2,8.9,109,89.8
Kelly Oubre Jr.,Was,SF,3,BackCourt,22,21,28.1,58.5,18.2,0.094,56,0.804,109,0.459,89,0.393,0.561,11.9,5.5,10.8,1,5.3,0.9,0.48,1.1,5.7,110.2,98.7
Kemba Walker,Cha,PG,1,FrontCourt,27,19,35.2,73.2,26.5,0.103,118,0.856,191,0.492,123,0.366,0.579,22.3,3.8,5.7,6.2,30.8,0.63,0.21,2.21,9.2,118.3,106
Kenneth Faried,Den,PF,4,BackCourt,28,18,13.2,27.4,18.2,0.119,33,0.758,74,0.554,0,0,0.604,5.9,4.1,17.4,0.3,3.9,0.33,0.22,0.67,5.9,120.9,101.8
Kent Bazemore,Atl,SF,3,BackCourt,28,21,28.4,59.2,22.6,0.167,75,0.787,142,0.415,80,0.35,0.512,12.4,4.4,8.8,3.6,19,1.81,0.48,2.43,8.2,97.8,105.1
Kentavious Caldwell-Pope,Lal,SG,2,FrontCourt,24,19,34.9,72.8,17.8,0.124,52,0.75,112,0.491,113,0.354,0.543,14.2,5.3,7.9,2.5,10.1,1.68,0.37,1.84,6.6,103.9,101.5
Kevin Durant,Gol,SF,3,BackCourt,29,17,34.6,72.1,28.7,0.153,80,0.85,195,0.574,102,0.431,0.638,24.9,6.8,10.8,4.7,21.2,0.76,2,3.53,10.7,113.5,102.8
Kevin Love,Cle,PF,4,BackCourt,29,22,29.6,61.6,26.3,0.121,129,0.891,175,0.52,110,0.364,0.61,19,10.3,19.5,1.9,10.3,0.73,0.45,2.14,9.7,120.2,101
Kevon Looney,Gol,PF,4,BackCourt,21,15,11.7,24.3,13.7,0.161,18,0.444,39,0.538,0,0,0.533,3.3,3,14.1,0.5,5.8,0.47,1,0.6,5.8,107.5,89.6
Khem Birch,Orl,C,5,BackCourt,25,2,3.1,6.5,21,0,0,0,3,0.333,0,0,0.333,1,1,17.5,0.5,23.8,0,0,0,10.2,,
Khris Middleton,Mil,PF,4,BackCourt,26,20,36.7,76.5,25.2,0.124,71,0.859,217,0.507,104,0.337,0.548,19.3,5.6,9,4.4,19.5,1.35,0.05,2.5,8.5,105.3,101.3
Klay Thompson,Gol,SG,2,FrontCourt,27,22,33,68.7,23.7,0.088,22,0.909,189,0.513,166,0.464,0.61,20.2,4.3,7.2,2.4,11,0.68,0.82,1.59,7.2,113,105.6
Kosta Koufos,Sac,C,5,BackCourt,28,21,19.1,39.9,12,0.121,33,0.455,80,0.55,0,0,0.545,4.9,5.9,17.6,1.1,9,0.57,0.67,0.62,6.6,115.1,101.6
Kris Dunn,Chi,PG,1,FrontCourt,23,16,26.8,55.8,25.3,0.21,19,0.632,150,0.44,37,0.432,0.491,12,4.7,9.3,4.2,28.1,2,0.25,3.25,9.2,88.5,96.7
Kristaps Porzingis,Nyk,PF,4,BackCourt,22,19,31.5,65.6,34.2,0.096,132,0.841,274,0.489,92,0.402,0.578,25.8,6.8,12.2,1.1,6.4,0.47,2.11,2.37,7.3,111.4,101
Kyle Anderson,San,SG,2,FrontCourt,24,21,27.9,58.1,15,0.132,51,0.765,139,0.525,10,0.3,0.566,9.2,6.2,12.4,3.1,16.8,1.19,0.86,1.24,8,117,99.9
Kyle Korver,Cle,SG,2,FrontCourt,36,22,21.6,45.1,17.2,0.086,30,0.867,30,0.633,127,0.441,0.682,10.5,2.2,5.8,0.8,5.6,0.45,0.32,0.73,4.9,125.3,105.6
Kyle Kuzma,Lal,PF,4,BackCourt,22,20,31.3,65.1,21.3,0.122,56,0.768,169,0.568,87,0.379,0.595,16.7,6.1,10.2,1.6,8.1,0.4,0.1,1.95,7,110.1,102.7
Kyle Lowry,Tor,PG,1,FrontCourt,31,20,32.5,67.8,21.5,0.161,64,0.906,93,0.516,144,0.417,0.63,16.7,6.3,11.2,7,31,0.85,0.15,2.55,11.1,122.7,101.5
Kyle O'Quinn,Nyk,PF,4,BackCourt,27,21,16.8,34.9,18.4,0.249,33,0.818,94,0.564,3,0,0.596,6.3,6.5,21.8,2.1,18.8,0.48,1,1.76,10.5,108.1,88.4
Kyle Singler,Okc,SF,3,BackCourt,29,1,2.4,5,18,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,,
Kyrie Irving,Bos,PG,1,FrontCourt,25,22,31.7,66,30.7,0.099,106,0.868,260,0.535,129,0.372,0.59,23.4,3.3,5.7,5.2,32.4,1.5,0.27,2.18,9.3,116.9,96.2
LaMarcus Aldridge,San,PF,4,BackCourt,32,21,33.3,69.4,28.4,0.07,114,0.833,330,0.536,33,0.364,0.587,23.1,8.2,13.7,2.3,12.9,0.62,1.29,1.48,9.1,121.1,100
Lance Stephenson,Ind,SG,2,FrontCourt,27,22,21.5,44.7,19.1,0.16,43,0.581,108,0.481,46,0.326,0.503,7.9,5.1,13.3,2.7,17.4,0.59,0.18,1.5,8.9,100.7,102.2
Lance Thomas,Nyk,PF,4,BackCourt,29,18,14.6,30.3,12.9,0.142,17,0.765,36,0.361,23,0.391,0.496,3.7,2.6,10.1,0.4,3.6,0.22,0,0.61,4.3,99.3,101.1
Langston Galloway,Det,PG,1,FrontCourt,26,19,14.2,29.6,17.4,0.056,12,0.833,32,0.5,64,0.422,0.607,6.5,1.7,6.7,0.7,7.6,0.42,0.16,0.32,5.6,120.9,105.8
Larry Nance Jr.,Lal,PF,4,BackCourt,25,10,23.7,49.5,15.7,0.156,22,0.727,64,0.609,2,0,0.621,9.4,7.2,15.9,1.2,7.5,1.9,0.7,1.4,7.3,116,90.4
Lauri Markkanen,Chi,PF,4,BackCourt,20,20,30.6,63.8,21.8,0.089,53,0.811,114,0.456,140,0.343,0.525,14.6,8.2,14.2,1.5,8.1,0.5,0.6,1.35,7.4,102.6,106.8
LeBron James,Cle,SF,3,BackCourt,33,22,37,77.1,29.9,0.161,120,0.758,306,0.637,106,0.425,0.663,28,8.2,12.4,8.5,43,1.32,1.18,4.05,13.5,124.1,106
Lonzo Ball,Lal,PG,1,FrontCourt,20,21,33.4,69.6,18,0.181,30,0.467,130,0.362,105,0.257,0.381,9,7,11,7.2,29.4,1.38,0.81,2.62,9.2,88.6,100.6
Lorenzo Brown,Tor,G,5,BackCourt,27,4,11.5,24,5.8,0,0,0,3,0.333,3,0,0.167,0.5,1.8,8.8,1.3,13.1,0.75,0,0,3.7,79.1,100.7
Lou Williams,Lac,SG,2,FrontCourt,31,20,29.3,61,27.5,0.154,87,0.897,157,0.503,118,0.39,0.597,18.7,2.7,5,4.1,23.8,1.05,0.2,2.85,8.1,112.8,110.2
Luc Mbah a Moute,Hou,PF,4,BackCourt,31,19,26.5,55.2,12.8,0.181,25,0.72,55,0.6,56,0.393,0.615,7.9,3.5,7.3,1,5.4,1.47,0.53,1.42,4.6,106.2,97.8
Lucas Nogueira,Tor,C,5,BackCourt,25,17,12,25,13,0.15,9,0.778,37,0.676,10,0.3,0.648,3.9,2.7,13.1,0.4,4.1,0.65,1.18,0.53,5.4,117.4,92.8
Luke Babbitt,Atl,SF,3,BackCourt,28,18,19.5,40.7,15.7,0.104,10,0.7,37,0.541,71,0.437,0.623,7.8,2.6,7.4,0.9,6.9,0.28,0.17,0.72,5.4,113.3,106.8
Luke Kennard,Det,SG,2,FrontCourt,21,15,16.2,33.7,18.9,0.152,9,0.667,50,0.44,35,0.4,0.517,6.1,1.8,6.3,1.3,11.3,0.73,0.07,1.07,6,96.4,102.7
Luol Deng,Lal,SF,3,BackCourt,32,1,13.1,27.3,9.5,0.333,0,0,2,0.5,0,0,0.5,2,0,0,1,10,1,0,1,0,76.4,109.7
Malachi Richardson,Sac,SG,2,FrontCourt,22,12,11.7,24.4,16.2,0.059,13,0.769,24,0.333,18,0.389,0.492,3.9,0.9,4.5,0.5,6.4,0.5,0,0.25,4.1,102.7,105.6
Malcolm Brogdon,Mil,SG,2,FrontCourt,25,19,30.2,63,19.6,0.126,30,0.833,128,0.5,73,0.438,0.581,13.1,2.8,5.4,3.6,18.6,1,0.21,1.63,6.7,109.6,105.3
Malcolm Delaney,Atl,PG,1,FrontCourt,28,17,20.4,42.5,14.8,0.18,24,0.708,50,0.36,35,0.371,0.481,5.4,2,5.6,2,13.7,0.82,0.12,1.24,5.5,93.6,109.3
Malik Beasley,Den,SG,2,FrontCourt,21,19,8.4,17.4,16.6,0.129,11,0.545,27,0.519,22,0.318,0.511,2.9,1.5,9.8,0.5,9.1,0.16,0,0.42,6.2,101.9,104.4
Malik Monk,Cha,SG,2,FrontCourt,19,18,17.5,36.4,22.2,0.1,13,0.769,58,0.362,81,0.346,0.47,7.6,1.6,4.7,1.8,16.8,0.28,0.17,0.89,6.4,95.7,104.5
Mangok Mathiang,Cha,PF,4,BackCourt,25,1,3.5,7.3,24.8,0,0,0,2,0,0,0,0,0,2,30.3,0,0,0,0,0,0,,
Manu Ginobili,San,SG,2,FrontCourt,40,18,20.1,41.9,21.5,0.189,33,0.848,77,0.506,50,0.24,0.502,7.9,1.9,5.2,2.1,15.9,0.67,0.28,1.83,6.3,93,97.8
Marc Gasol,Mem,C,5,BackCourt,33,20,34.4,71.6,27.9,0.149,101,0.842,220,0.455,90,0.322,0.525,18.6,8.9,14.9,4.3,22.2,0.5,1.6,3.1,10.4,100.6,101.3
Marcin Gortat,Was,C,5,BackCourt,33,21,29.7,62,14.8,0.138,47,0.66,161,0.559,0,0,0.581,10,8.6,16.1,1.7,8.4,0.33,0.76,1.38,7.1,114.7,99.9
Marco Belinelli,Atl,SG,2,FrontCourt,31,21,25.9,54,20.2,0.088,42,0.929,100,0.43,110,0.409,0.569,12.4,2.2,4.9,2.6,15.4,1.24,0.05,1.05,6.4,113.3,112.8
Marcus Georges-Hunt,Min,SG,2,FrontCourt,23,9,1.7,3.4,14.6,0.2,0,0,3,0.667,1,0,0.5,0.4,0.1,3.9,0.1,9.7,0.11,0,0.11,3.7,,
Marcus Morris,Bos,SF,3,BackCourt,28,13,23.9,49.8,23.8,0.084,39,0.872,90,0.467,46,0.37,0.552,13,5.4,12.3,1.5,11,0.69,0.31,1.08,7.9,108.9,93.8
Marcus Paige,Cha,PG,1,FrontCourt,24,1,2.9,6,29.9,0,0,0,2,0,0,0,0,0,2,36.6,0,0,0,0,0,0,,
Marcus Smart,Bos,PG,1,FrontCourt,23,21,30.9,64.3,19.3,0.173,59,0.729,108,0.333,100,0.29,0.432,9.6,4.2,7.5,5.3,25.5,1.29,0.48,2.33,7.7,93.8,94.7
Mario Chalmers,Mem,PG,1,FrontCourt,31,19,24.8,51.7,19.9,0.167,51,0.784,88,0.443,59,0.237,0.472,8.4,3.1,7.2,4,25.5,1.42,0.11,1.79,7.6,95.6,95.3
Mario Hezonja,Orl,SF,3,BackCourt,22,17,9.7,20.1,16.1,0.197,4,0.75,26,0.462,21,0.381,0.523,3,1.8,9.9,0.6,9.4,0.29,0.06,0.71,6.1,94.3,106.2
Markelle Fultz,Phi,PG,1,FrontCourt,19,4,18.9,39.4,21,0.157,12,0.5,27,0.333,0,0,0.372,6,2.3,6.2,1.8,12.8,0.5,0.25,1.5,6.2,78.7,104
Markieff Morris,Was,PF,4,BackCourt,28,14,22.6,47.1,20.5,0.148,12,0.833,80,0.463,41,0.341,0.499,9,4.4,10.7,1.1,7.8,0.57,0.36,1.57,6.2,92.8,95.1
Marquese Chriss,Pho,PF,4,BackCourt,20,23,20,41.6,15.6,0.155,33,0.727,80,0.438,53,0.321,0.491,6.3,4.8,12.3,1.1,8,0.61,1.17,1.17,6.4,95.5,97.5
Marreese Speights,Orl,C,5,BackCourt,30,17,12,25,27.6,0.062,12,0.583,35,0.486,81,0.42,0.59,8.4,2.4,10.9,0.5,6.7,0.24,0.29,0.47,7.2,109.5,98.1
Marvin Williams,Cha,PF,4,BackCourt,31,20,25.4,52.8,13.2,0.058,24,0.875,63,0.46,72,0.444,0.601,8.8,4.2,8.7,1.1,6.6,0.75,0.35,0.45,5.4,123.1,103.5
Mason Plumlee,Den,C,5,BackCourt,27,21,16.8,35,17.9,0.196,59,0.424,92,0.533,1,0,0.517,5.9,4.4,14.7,1.5,12.8,0.76,0.9,1.38,8.1,99.9,98
Matt Costello,San,SF,3,BackCourt,24,1,10.6,22.1,4.2,0,0,0,1,1,0,0,1,2,5,26.3,0,0,0,2,0,0,200,69
Matthew Dellavedova,Mil,PG,1,FrontCourt,27,13,20,41.6,16.3,0.229,11,0.909,37,0.378,29,0.379,0.501,5.5,2.2,6.4,3.2,22.1,0.23,0,1.62,6.8,97.5,105.5
Maurice Harkless,Por,SF,3,BackCourt,24,22,24.3,50.6,11.6,0.126,24,0.75,77,0.494,37,0.243,0.486,5.5,3.5,7.8,0.6,3.8,0.77,0.91,0.82,3.7,97.7,97.6
Maxi Kleber,Dal,F,5,BackCourt,26,16,14.2,29.6,13.5,0.088,10,0.7,37,0.676,21,0.286,0.601,4.7,2.6,10.1,0.3,3.5,0.25,0.19,0.38,4.3,117.6,102.6
Meyers Leonard,Por,PF,4,BackCourt,25,7,10.2,21.3,16.9,0.072,4,0.5,14,0.643,10,0.4,0.621,4.6,3,16,0.1,2.4,0.14,0,0.29,4.4,119.8,86.8
Michael Beasley,Nyk,SF,3,BackCourt,29,15,14.4,30,25.4,0.199,20,0.6,83,0.566,9,0,0.526,7.1,3.5,13.9,0.9,10.5,0.07,0.4,1.67,7.8,92.9,102.6
Michael Carter-Williams,Cha,PG,1,FrontCourt,26,9,17.3,36,19,0.19,28,0.786,32,0.156,11,0.364,0.398,4.9,2.9,8.9,2.8,22.2,1.11,0.33,1.44,7.9,90.6,94.2
Michael Kidd-Gilchrist,Cha,SF,3,BackCourt,24,14,25.2,52.5,15.3,0.04,25,0.72,107,0.495,1,0,0.521,8.9,4.1,8.6,0.6,4,0.43,0.86,0.36,4.4,110.5,102.2
Mike Conley,Mem,PG,1,FrontCourt,30,12,31.1,64.8,26.5,0.084,66,0.803,91,0.44,77,0.312,0.52,17.1,2.3,4.2,4.1,22.9,1,0.25,1.5,7,106.4,105.7
Mike James,Pho,PG,1,FrontCourt,27,23,22.7,47.3,24.1,0.127,66,0.758,162,0.42,76,0.289,0.472,11,3,6.9,4.1,28.1,0.87,0.26,1.7,9,99.2,108.7
Mike Muscala,Atl,C,5,BackCourt,26,9,22.4,46.8,14,0.124,12,0.917,32,0.469,19,0.316,0.524,6.6,4.4,11.3,1,6.3,0.78,0.56,0.89,5.5,106.1,102.2
Mike Scott,Was,PF,4,BackCourt,29,18,18.1,37.8,18.8,0.136,20,0.75,79,0.582,33,0.424,0.617,8.3,3.4,10.4,0.5,4.4,0.28,0.22,1.06,5.3,108.5,100
Miles Plumlee,Atl,C,5,BackCourt,29,2,6.4,13.3,3.4,1,0,0,0,0,0,0,,0,0.5,4.4,0,0,0,0,0.5,0,,119.4
Milos Teodosic,Lac,PG,1,FrontCourt,30,2,16,33.3,20.4,0.2,0,0,5,0.2,7,0.429,0.458,5.5,0.5,1.7,4,37.3,0,0.5,1.5,5.6,98.5,107.9
Mindaugas Kuzminskas,Nyk,SF,3,BackCourt,28,1,1.9,4,45.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mirza Teletovic,Mil,PF,4,BackCourt,32,10,15.9,33.2,18.5,0.109,0,0,12,0.333,45,0.467,0.623,7.1,2.3,8.5,1,9.6,0.4,0.1,0.7,6.4,112.1,103.7
Montrezl Harrell,Lac,PF,4,BackCourt,24,14,9.4,19.6,18.6,0.125,14,0.643,43,0.628,0,0,0.641,4.5,2.9,17.4,0.7,12.9,0.21,0.43,0.5,8.9,126.6,100.2
Myles Turner,Ind,C,5,BackCourt,21,15,28.9,60.1,21.4,0.109,42,0.786,133,0.504,37,0.378,0.554,13.9,7.6,14.8,1.3,6.5,0.27,2.53,1.53,7.1,105.7,99.9
Nate Wolters,Uta,PG,1,FrontCourt,26,4,2.7,5.6,12.5,0,0,0,3,0,0,0,0,0,0.5,10.7,0.3,11.9,0,0,0,0,,
Nemanja Bjelica,Min,PF,4,BackCourt,29,18,15.3,31.9,16,0.128,12,0.917,42,0.643,41,0.512,0.725,7.1,2.8,10.6,0.7,7.2,0.56,0.22,0.72,6.3,128.6,100.2
Nene,Hou,C,5,BackCourt,35,15,14.3,29.9,20.6,0.175,40,0.75,65,0.677,2,0,0.697,7.9,3.1,12.2,1.1,13.1,0.6,0.4,1.2,8.4,123.4,87.1
Nerlens Noel,Dal,PF,4,BackCourt,23,18,12.5,26.1,15.2,0.196,19,0.842,53,0.528,0,0,0.587,4,4.1,17.7,0.3,4.2,0.56,0.56,0.83,5.4,110.3,93.1
Nick Collison,Okc,PF,4,BackCourt,37,2,6.3,13,6.9,0,0,0,2,1,0,0,1,2,1.5,13.5,0.5,12.8,0,0,0,7.3,206.2,109.3
Nick Young,Gol,SG,2,FrontCourt,32,21,13.3,27.8,20.1,0.092,17,0.706,29,0.586,82,0.39,0.599,6.8,1.4,5.7,0.6,6.3,0.52,0.1,0.57,5.4,109.7,104.2
Nicolas Batum,Cha,SG,2,FrontCourt,29,7,26.3,54.8,20.1,0.129,16,0.938,39,0.487,28,0.214,0.479,10.1,3.3,6.6,3.7,21.9,0.86,0.29,1.57,7.6,100.3,105.4
Nicolas Brussino,Atl,SF,3,BackCourt,24,4,2.5,5.2,8.9,0,0,0,0,0,2,0,0,0,0.8,17.2,0,0,0,0,0,0,,
Nik Stauskas,Phi,SG,2,FrontCourt,24,4,7.1,14.8,7.1,0.41,2,1,2,0.5,0,0,0.694,1,0.3,1.8,0,0,0.75,0,0.5,0,80.7,101.3
Nikola Jokic,Den,PF,4,BackCourt,22,21,29.4,61.3,21.7,0.147,59,0.864,172,0.552,69,0.406,0.609,15.5,10.6,20.1,4.6,24.9,1.33,0.62,2.19,12.4,122.3,98.7
Nikola Vucevic,Orl,C,5,BackCourt,27,22,29.8,62,24.4,0.109,34,0.765,219,0.534,94,0.362,0.552,16.5,8.4,15.3,3,16.8,0.95,0.91,1.82,10,107.4,102.9
Noah Vonleh,Por,PF,4,BackCourt,22,15,22.8,47.4,10.1,0.14,20,0.75,59,0.542,0,0,0.583,5.3,7.9,19,0.6,3.9,0.33,0.53,0.73,5.1,118.5,91.8
Norman Powell,Tor,SG,2,FrontCourt,24,16,22.9,47.7,19.5,0.137,25,0.8,69,0.507,59,0.356,0.55,9.6,2.1,5.2,1.9,11.7,1.19,0.38,1.38,5.9,104,100.3
OG Anunoby,Tor,SF,3,BackCourt,20,20,18.8,39.1,13.1,0.063,21,0.619,42,0.619,53,0.396,0.614,6.4,2.1,6.4,1,6.9,0.85,0.05,0.35,5.1,125.4,100.5
Okaro White,Mia,PF,4,BackCourt,25,6,13.3,27.6,10.3,0.055,3,0.667,5,0.6,11,0.364,0.577,3.3,1.8,7.6,0.3,3.7,0.17,0.17,0.17,3.6,119.4,104.4
